listing_id,title,property_type,specific_type,bedrooms,area_sqft,price_ksh,county,city,area_name,url,price_disclosed,area_sqm,price_per_sqm,price_m,property_category
3750386,0.08 Ha Residential Land At Gikambura,Land For Sale,Residential Land For Sale,0,8.0,8000000.0,Kiambu,Kikuyu,Kikuyu Town,https://www.buyrentkenya.com/listings/008-ha-residential-land-for-sale-kikuyu-town-3750386,True,0.743224,10763915.051182415,8.0,Land
3750373,Residential Land At Gatongora,Land For Sale,Residential Land For Sale,0,,45000000.0,Kiambu,Ruiru,Kamakis,https://www.buyrentkenya.com/listings/residential-land-for-sale-kamakis-3750373,True,,,45.0,Land
3533284,Land At Yukos Area,Land For Sale,Other Land For Sale,0,,11000000.0,Kajiado,Kitengela,Kitengela,https://www.buyrentkenya.com/listings/land-for-sale-kitengela-4-3533284,True,,,11.0,Land
3750356,2 Bed Apartment With En Suite At Westlands Rd,Apartments For Sale,Other Apartments For Sale,2,100.0,14600000.0,Nairobi,Westlands,Westlands Area,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-3750356,True,9.2903,1571531.5974726328,14.6,Apartment/Flat
3471798,3 Bed Townhouse With En Suite At Kiambu Road,Houses For Sale,Townhouses For Sale,3,,45000000.0,Nairobi,Kiambu Road,Kiambu Road,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kiambu-road-11-3471798,True,,,45.0,House/Townhouse
3689199,500 M² Residential Land At Ondiri,Land For Sale,Residential Land For Sale,0,500.0,3600000.0,Kiambu,Kikuyu,Kikuyu Town,https://www.buyrentkenya.com/listings/500-m2-residential-land-for-sale-kikuyu-town-3689199,True,46.4515,77500.1883685134,3.6,Land
3750244,Land In Nyali Area,Land For Sale,Other Land For Sale,0,,180000000.0,Mombasa,Nyali,Nyali Area,https://www.buyrentkenya.com/listings/land-for-sale-nyali-area-3750244,True,,,180.0,Land
3750222,7 Bed House With En Suite In Ngong,Houses For Sale,Other Houses For Sale,7,416.0,32000000.0,Kajiado,Ngong,Ngong,https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-ngong-3750222,True,38.647648,827993.4654755705,32.0,House/Townhouse
3750016,0.25 Ac Land In Eastleigh,Land For Sale,Other Land For Sale,0,25.0,130000000.0,Nairobi,Eastleigh,Eastleigh,https://www.buyrentkenya.com/listings/025-ac-land-for-sale-eastleigh-3750016,True,2.322575,55972358.26614856,130.0,Land
3750012,0.3 Ac Land At Peponi Road,Land For Sale,Other Land For Sale,0,3.0,110000000.0,Nairobi,Westlands,Spring Valley,https://www.buyrentkenya.com/listings/03-ac-land-for-sale-spring-valley-3750012,True,0.278709,394676885.210022,110.0,Land
3749932,3 Bed Apartment With Borehole In Kileleshwa,Apartments For Sale,Other Apartments For Sale,3,,28000000.0,Nairobi,Kileleshwa,Kileleshwa,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-3749932,True,,,28.0,Apartment/Flat
